"id","lastName","firstName","patronymic","isArtist","birthDate","deathDate","birthPlace","deathPlace","otherInfo","wikiUrl"
1,Денисовский,Николай,Фёдорович,0,"1901","1981","","","",https://artinvestment.ru/auctions/30530
2,Еремичев,М,А,0,"","","","","",https://artinvestment.ru/auctions/150660
3,Замошкин,Александр,Иванович,0,"1899","1977","","","",https://artinvestment.ru/auctions/150680
4,Иогансон,Карл,Вольдемарович,0,"1890","1929","","","",https://artinvestment.ru/auctions/150700
5,Комардёнков,Василий,Петрович,0,"1897","1973","","","",https://artinvestment.ru/auctions/11860
6,Костин,Сергей,Николаевич,0,"1896","1968","","","",https://artinvestment.ru/auctions/140460
7,Лентулов,Аристарх,Васильевич,0,"1882","1943","","","",https://artinvestment.ru/auctions/1306
8,Медунецкий,Константин,Константинович,0,"1899","1935","","","",https://artinvestment.ru/auctions/150720
9,Наумов,Александр,Ильич,0,"1899","1928","","","",https://artinvestment.ru/auctions/140940
10,Перекатов,А,С,0,"","","","","",https://artinvestment.ru/auctions/150740
11,Прусаков,А,П,0,"","","","","",https://artinvestment.ru/auctions/150760
12,Прусаков,Николай,Петрович,0,"1900","1952","","","",https://artinvestment.ru/auctions/42380
13,Родченко,Александр,Михайлович,0,"1891","1956","","","",https://artinvestment.ru/auctions/1366
14,Светлов,Сергей,Яковлевич,0,"1900","1966","","","",https://artinvestment.ru/auctions/150780
15,Стенберг,Владимир,Августович,0,"1899","1982","","","",https://artinvestment.ru/auctions/1832
16,Стенберг,Георгий,Августович,0,"1900","1933","","","",https://artinvestment.ru/auctions/4415
17,Якулов,Георгий,Богданович,0,"1884","1928","","","",https://artinvestment.ru/auctions/1174
18,Архипенко,Александр,Порфирьевич,0,"1887","1964","","","",https://artinvestment.ru/auctions/1284
19,Богуславская,Ксения,Леонидовна,0,"1892","1971","","","",https://artinvestment.ru/auctions/59790
20,Генке-Меллер,Нина,Генриховна,0,"1893","1954","","","",https://artinvestment.ru/auctions/132010
21,Давыдова,Наталия,Михайловна,0,"","","","","",https://artinvestment.ru/auctions/132030
22,Клюн,Иван,Васильевич,0,"1873","1943","","","",https://artinvestment.ru/auctions/1618
23,Лесовой,Пётр,Васильевич,0,"1948","","","","",https://artinvestment.ru/auctions/82460
24,Малевич,Казимир,Северинович,0,"1878","1935","","","",https://artinvestment.ru/auctions/1026
25,Матюшин,Михаил,Васильевич,0,"1861","1934","","","",https://artinvestment.ru/auctions/801
26,Меньков,Михаил,Иванович,0,"1885","1926","","","",https://artinvestment.ru/auctions/78030
27,Пестель,Вера,Ефремовна,0,"1883","1952","","","",https://artinvestment.ru/auctions/1450
28,Пуни,Иван,Альбертович,0,"1894","1956","","","",https://artinvestment.ru/auctions/1600
29,Розанова,Ольга,Владимировна,0,"1886","1918","","","",https://artinvestment.ru/auctions/1072
30,Удальцова,Надежда,Андреевна,0,"1886","1961","","","",https://artinvestment.ru/auctions/1094
31,Экстер,Александра,Александровна,0,"1882","1949","","","",https://artinvestment.ru/auctions/954
32,Вальтер,Ирина,Владимировна,0,"1903","1993","","","",https://artinvestment.ru/auctions/123950
33,Ваулина,Ольга,Петровна,0,"1902","1996","","","",https://artinvestment.ru/auctions/123990
34,Власюк,Софья,Сергеевна,0,"1902","1942","","","",https://artinvestment.ru/auctions/123970
35,Гринберг,Николай,И,0,"1897 (?)","","","","",https://artinvestment.ru/auctions/124010
36,Делакроа,Валида,Эрнестовна,0,"1899","1972","","","",https://artinvestment.ru/auctions/124030
37,Костров,Николай,Иванович,0,"1901","1995","","","",https://artinvestment.ru/auctions/96760
38,Магарил,Евгения,Марковна,0,"1902","1987","","","",https://artinvestment.ru/auctions/124050
39,Сысоева,Татьяна,Ивановна,0,"1893","","","","",https://artinvestment.ru/auctions/124070
40,Хмелевская,Елена,Станиславовна,0,"1899","1992","","","",https://artinvestment.ru/auctions/124090
41,Эндер,Борис,Владимирович,0,"1893","1960","","","",https://artinvestment.ru/auctions/1444
42,Эндер,Георгий,Владимирович,0,"1898","1963","","","",https://artinvestment.ru/auctions/124110
43,Эндер,Ксения,Владимировна,0,"1894","1955","","","",https://artinvestment.ru/auctions/1344
44,Эндер,Мария,Владимировна,0,"1897","1942","","","",https://artinvestment.ru/auctions/101480
45,Белостоцкая,Фанни,Яковлевна,0,"1904","1980","","","",https://artinvestment.ru/auctions/177200
46,Гурович,Эмма,Ильинична,0,"1899","1980","","","",https://artinvestment.ru/auctions/92730
47,Ермолаева,Вера,Михайловна,0,"1893","1937","","","",https://artinvestment.ru/auctions/46420
48,Иванова,Наталья,Ивановна,0,"1901","1979","","","",https://artinvestment.ru/auctions/177220
49,Каган,Анна,Александровна,0,"1902","1974","","","",https://artinvestment.ru/auctions/35400
50,Клуцис,Густав,Густавович,0,"1895","1938","","","",https://artinvestment.ru/auctions/1924
51,Коган,Нина,Иосифовна,0,"1889","1942","","","",https://artinvestment.ru/auctions/11680
52,Лисицкий,Эль,"",0,"1890","1941","","","",https://artinvestment.ru/auctions/1620
53,Митурич,Пётр,Васильевич,0,"1887","1956","","","",https://artinvestment.ru/auctions/1314
54,Рояк,Ефим,Моисеевич,0,"1906","1987","","","",https://artinvestment.ru/auctions/16170
55,Санников,Дмитрий,Николаевич,0,"1902","1970-е","","","",https://artinvestment.ru/auctions/82820
56,Стржеминский,Владислав,Максимилианович,0,"1893","1952","","","",https://artinvestment.ru/auctions/50480
57,Суетин,Николай,Михайлович,0,"1897","1954","","","",https://artinvestment.ru/auctions/43640
58,Хидекель,Лазарь,Маркович,0,"1904","1986","","","",https://artinvestment.ru/auctions/44720
59,Чашник,Илья,Григорьевич,0,"1902","1929","","","",https://artinvestment.ru/auctions/1310
60,Юдин,Лев,Александрович,0,"1903","1941","","","",https://artinvestment.ru/auctions/49210
61,Якерсон,Давид,Аронович,0,"1896","1947","","","",https://artinvestment.ru/auctions/59985
62,Аветов,Михаил,Никитич,0,"1895","1972","","","",https://artinvestment.ru/auctions/68390
63,Алтухов,Иов,Корнилович,0,"1884","1970","","","",https://artinvestment.ru/auctions/146680
64,Борисов,Борис,Иванович,0,"1902","1968","","","",https://artinvestment.ru/auctions/129470
65,Бухарев,Сергей,Николаевич,0,"1904",после 1972 (?),"","","",https://artinvestment.ru/auctions/129530
66,Герасимов,Сергей,Васильевич,0,"1885","1964","","","",https://artinvestment.ru/auctions/1528
67,Грабарь,Игорь,Эммануилович,0,"1871","1960","","","",https://artinvestment.ru/auctions/825
